Transaction_ID,Customer_ID,Amount,Transaction_Type,Location,Device,Hour,Merchant_Category,International,Fraud
T130,C424,149836,NEFT,Pune,Web,7,Electronics,0,0
T131,C445,95723,NEFT,Pune,ATM,17,Food,0,0
T132,C160,122698,NEFT,Mumbai,Mobile,23,Fuel,1,1
T133,C102,92215,Card,Mumbai,ATM,19,Food,1,0
T134,C052,66748,UPI,Bengaluru,ATM,4,Travel,0,0
T135,C030,135592,NEFT,Delhi,Mobile,2,Fuel,0,1
T136,C177,82707,IMPS,Pune,Web,2,Retail,0,1
T137,C130,7457,IMPS,Bengaluru,ATM,18,Retail,1,0
T138,C055,97745,IMPS,Pune,Mobile,9,Food,1,0
T139,C490,51105,IMPS,Bengaluru,Mobile,1,Travel,1,1
T140,C378,32259,UPI,Mumbai,ATM,13,Electronics,0,0
T141,C146,114542,Card,Mumbai,Mobile,18,Electronics,1,1
T142,C313,72989,IMPS,Delhi,Web,16,Fuel,1,0
T143,C255,10315,UPI,Pune,Mobile,5,Electronics,1,0
T144,C165,39044,UPI,Bengaluru,ATM,22,Food,1,0
T145,C207,64365,Card,Delhi,ATM,23,Food,0,0
T146,C370,21340,UPI,Delhi,Mobile,6,Retail,1,0
T147,C478,177182,UPI,Mumbai,ATM,10,Retail,1,1
T148,C186,128178,Card,Pune,Web,9,Electronics,0,0
T149,C321,162742,UPI,Delhi,ATM,2,Retail,1,1
T150,C067,18487,UPI,Bengaluru,Web,2,Food,1,1
T151,C332,187320,IMPS,Mumbai,ATM,2,Electronics,0,1
T152,C137,60209,UPI,Delhi,ATM,10,Electronics,0,0
T153,C490,40277,UPI,Delhi,ATM,14,Travel,0,0
T154,C188,123918,Card,Delhi,Mobile,9,Food,0,0
T155,C336,2339,Card,Mumbai,Web,8,Retail,1,0
T156,C423,21013,NEFT,Pune,Mobile,14,Electronics,1,0
T157,C109,135583,IMPS,Pune,Web,3,Fuel,0,1
T158,C379,180055,Card,Mumbai,Mobile,17,Retail,1,1
T159,C300,73087,UPI,Mumbai,ATM,3,Food,1,1
T160,C211,66712,IMPS,Delhi,ATM,21,Food,1,0
T161,C486,15491,NEFT,Mumbai,Web,9,Fuel,0,0
T162,C010,10764,IMPS,Mumbai,Mobile,9,Food,0,0
T163,C081,130625,Card,Bengaluru,Web,6,Food,1,1
T164,C051,33575,Card,Pune,Mobile,8,Travel,0,0
T165,C486,3783,Card,Pune,ATM,20,Food,0,0
T166,C161,60277,IMPS,Pune,Mobile,21,Food,1,0
T167,C445,167063,UPI,Bengaluru,Web,8,Electronics,0,0
T168,C114,80542,UPI,Bengaluru,Web,11,Travel,0,0
T169,C203,150106,UPI,Delhi,Mobile,17,Food,0,0
T170,C444,19486,UPI,Mumbai,Mobile,4,Travel,0,0
T171,C325,14646,UPI,Delhi,ATM,17,Travel,0,0
T172,C246,87997,IMPS,Bengaluru,ATM,19,Electronics,1,0
T173,C142,143236,IMPS,Bengaluru,ATM,12,Fuel,1,1
T174,C491,58901,UPI,Pune,Mobile,15,Retail,0,0
T175,C371,81476,NEFT,Bengaluru,ATM,9,Retail,1,0
T176,C150,185357,UPI,Bengaluru,Web,2,Fuel,0,1
T177,C085,15169,Card,Mumbai,Mobile,14,Fuel,1,0
T178,C488,175598,UPI,Bengaluru,ATM,9,Food,1,1
T179,C191,58130,IMPS,Mumbai,Web,2,Retail,0,1
T180,C376,69363,NEFT,Delhi,ATM,19,Food,0,0
T181,C098,33915,Card,Bengaluru,Web,18,Travel,1,0
T182,C026,96788,NEFT,Delhi,Web,23,Travel,1,0
T183,C366,196435,Card,Mumbai,Mobile,22,Food,0,0
T184,C391,89468,Card,Bengaluru,Mobile,16,Electronics,1,0
T185,C305,51316,NEFT,Delhi,ATM,8,Food,0,0
T186,C210,84516,UPI,Bengaluru,Mobile,7,Fuel,0,0
T187,C296,66107,IMPS,Bengaluru,Mobile,13,Travel,0,0
T188,C308,31002,UPI,Bengaluru,Mobile,9,Retail,1,0
T189,C380,59931,UPI,Delhi,Web,7,Fuel,1,0
T190,C482,137412,UPI,Delhi,ATM,13,Fuel,1,1
T191,C252,77336,NEFT,Bengaluru,Web,11,Food,0,0
T192,C220,161024,NEFT,Pune,Mobile,21,Food,1,1
T193,C312,184347,UPI,Mumbai,Mobile,13,Electronics,1,1
T194,C422,64505,Card,Bengaluru,ATM,2,Retail,1,1
T195,C444,41315,Card,Mumbai,ATM,9,Food,1,0
T196,C004,168472,Card,Mumbai,Web,8,Retail,1,1
T197,C199,145749,UPI,Delhi,Web,15,Electronics,1,1
T198,C057,120167,Card,Mumbai,ATM,1,Electronics,1,1
T199,C465,175204,UPI,Delhi,ATM,0,Retail,0,1
T200,C290,9134,Card,Mumbai,Web,9,Retail,1,0
T201,C099,58963,UPI,Bengaluru,ATM,1,Food,1,1
T202,C137,169715,UPI,Delhi,Web,7,Retail,0,0
T203,C123,58042,Card,Pune,ATM,19,Food,0,0
T204,C125,192364,IMPS,Pune,Web,15,Retail,0,0
T205,C053,178174,NEFT,Mumbai,ATM,1,Food,1,1
T206,C295,125065,IMPS,Mumbai,Web,23,Travel,0,0
T207,C299,99832,NEFT,Bengaluru,Mobile,17,Fuel,0,0
T208,C253,104272,IMPS,Mumbai,Mobile,11,Retail,1,1
T209,C006,32287,IMPS,Bengaluru,Mobile,5,Travel,1,0
T210,C387,47279,Card,Bengaluru,Mobile,7,Electronics,0,0
T211,C459,107853,IMPS,Bengaluru,Web,7,Fuel,1,1
T212,C377,6246,Card,Delhi,Mobile,13,Fuel,1,0
T213,C032,108133,UPI,Delhi,Web,1,Electronics,1,1
T214,C026,49379,NEFT,Bengaluru,Web,7,Food,1,0
T215,C211,68208,NEFT,Pune,Mobile,13,Food,1,0
T216,C379,59826,Card,Bengaluru,ATM,11,Travel,1,0
T217,C261,193381,IMPS,Delhi,Mobile,20,Electronics,0,0
T218,C322,92066,IMPS,Delhi,Web,21,Food,0,0
T219,C254,11568,NEFT,Bengaluru,Mobile,11,Electronics,1,0
T220,C330,7590,NEFT,Delhi,Mobile,4,Travel,1,0
T221,C233,157750,Card,Mumbai,Web,13,Retail,1,1
T222,C079,90985,NEFT,Mumbai,ATM,5,Food,0,0
T223,C081,62762,Card,Pune,Web,3,Travel,0,1
T224,C175,176286,NEFT,Pune,ATM,6,Food,1,1
T225,C469,72145,UPI,Pune,Mobile,4,Travel,1,0
T226,C120,162244,UPI,Mumbai,ATM,10,Fuel,1,1
T227,C091,38720,UPI,Delhi,Mobile,10,Food,1,0
T228,C294,13003,UPI,Delhi,ATM,10,Electronics,0,0
T229,C276,20727,UPI,Mumbai,Mobile,15,Food,0,0
T230,C144,42355,Card,Mumbai,Web,15,Travel,1,0
T231,C302,144581,Card,Delhi,ATM,0,Travel,0,1
T232,C474,126530,Card,Bengaluru,ATM,18,Travel,0,0
T233,C008,53978,IMPS,Mumbai,Web,14,Travel,1,0
T234,C016,197202,IMPS,Delhi,ATM,16,Electronics,1,1
T235,C149,142777,Card,Mumbai,Mobile,20,Travel,1,1
T236,C098,120185,NEFT,Bengaluru,ATM,3,Food,1,1
T237,C421,188468,UPI,Bengaluru,Web,19,Electronics,1,1
T238,C422,108116,IMPS,Delhi,Web,16,Food,0,0
T239,C462,93612,UPI,Bengaluru,Web,15,Electronics,0,0
T240,C124,36244,UPI,Delhi,Mobile,23,Travel,0,0
T241,C302,194303,IMPS,Pune,ATM,19,Fuel,1,1
T242,C090,34352,UPI,Bengaluru,Mobile,8,Electronics,0,0
T243,C166,55867,NEFT,Mumbai,ATM,3,Electronics,0,1
T244,C395,133405,IMPS,Bengaluru,ATM,0,Electronics,0,1
T245,C336,118506,Card,Bengaluru,Web,12,Electronics,0,0
T246,C216,63465,Card,Bengaluru,ATM,18,Electronics,0,0
T247,C219,73462,Card,Bengaluru,ATM,9,Food,0,0
T248,C382,43772,UPI,Delhi,Mobile,5,Travel,0,0
T249,C308,108669,IMPS,Mumbai,Mobile,11,Electronics,1,1
T250,C260,13538,IMPS,Bengaluru,Mobile,15,Fuel,0,0
T251,C214,152910,UPI,Delhi,Mobile,7,Food,0,0
T252,C215,164569,UPI,Bengaluru,Web,7,Retail,0,0
T253,C295,80687,NEFT,Mumbai,ATM,0,Food,1,1
T254,C487,75172,IMPS,Mumbai,Mobile,11,Electronics,0,0
T255,C177,27780,NEFT,Delhi,Web,20,Retail,1,0
T256,C288,165815,UPI,Pune,Web,20,Food,0,0
T257,C123,178995,IMPS,Bengaluru,ATM,4,Electronics,1,1
T258,C307,18745,Card,Delhi,ATM,14,Food,0,0
T259,C142,137811,NEFT,Mumbai,Web,7,Electronics,0,0
T260,C244,174161,NEFT,Mumbai,ATM,22,Travel,1,1
T261,C201,197172,Card,Pune,Web,11,Travel,0,0
T262,C152,144179,IMPS,Mumbai,ATM,13,Food,0,0
T263,C341,179635,UPI,Delhi,Mobile,18,Fuel,0,0
T264,C476,69625,Card,Mumbai,Mobile,17,Electronics,0,0
T265,C478,122160,IMPS,Delhi,Mobile,23,Retail,0,0
T266,C230,199180,Card,Bengaluru,Mobile,1,Travel,0,1
T267,C083,81815,NEFT,Bengaluru,Web,18,Electronics,0,0
T268,C270,113227,IMPS,Pune,Mobile,15,Electronics,0,0
T269,C119,36556,NEFT,Mumbai,Web,21,Electronics,0,0
T270,C448,6173,Card,Delhi,Web,5,Electronics,0,0
T271,C041,74736,IMPS,Bengaluru,Web,18,Travel,0,0
T272,C442,196029,UPI,Bengaluru,Mobile,14,Retail,0,0
T273,C284,107475,IMPS,Delhi,Mobile,11,Fuel,0,0
T274,C213,60978,UPI,Bengaluru,Mobile,12,Retail,0,0
T275,C318,53904,IMPS,Mumbai,Mobile,0,Retail,1,1
T276,C240,179330,UPI,Delhi,Web,0,Food,0,1
T277,C050,131270,Card,Delhi,Mobile,18,Retail,0,0
T278,C037,102874,Card,Pune,Web,12,Electronics,1,1
T279,C284,3416,IMPS,Mumbai,Web,23,Electronics,0,0
T280,C431,183199,IMPS,Delhi,Mobile,15,Travel,1,1
T281,C226,5255,UPI,Bengaluru,ATM,20,Food,0,0
T282,C026,113832,IMPS,Bengaluru,ATM,22,Food,0,0
T283,C284,186606,NEFT,Pune,Mobile,12,Electronics,0,0
T284,C022,117315,Card,Bengaluru,Mobile,23,Electronics,0,0
T285,C272,170722,Card,Bengaluru,ATM,4,Electronics,0,0
T286,C326,67127,Card,Mumbai,Mobile,17,Fuel,0,0
T287,C164,61198,IMPS,Pune,ATM,12,Electronics,0,0
T288,C218,100781,UPI,Delhi,Web,2,Electronics,0,1
T289,C217,153714,NEFT,Pune,Web,5,Fuel,1,1
T290,C011,134200,UPI,Bengaluru,Web,21,Food,1,1
T291,C179,66030,UPI,Pune,Web,23,Retail,1,0
T292,C165,142369,IMPS,Mumbai,Web,22,Electronics,0,0
T293,C458,111871,UPI,Delhi,ATM,8,Travel,0,0
T294,C088,50673,IMPS,Pune,Mobile,4,Travel,0,0
T295,C106,161383,IMPS,Pune,Mobile,21,Fuel,1,1
T296,C063,190477,NEFT,Mumbai,ATM,21,Retail,0,0
T297,C422,46150,NEFT,Mumbai,Mobile,23,Fuel,1,0
T298,C304,180132,NEFT,Pune,ATM,3,Travel,0,1
T299,C407,2017,UPI,Bengaluru,Mobile,22,Food,0,0
T300,C354,51273,UPI,Mumbai,Web,4,Food,0,0
T301,C247,55035,Card,Mumbai,Web,11,Travel,0,0
T302,C271,163207,Card,Pune,Web,2,Fuel,0,1
T303,C268,123,Card,Bengaluru,ATM,19,Electronics,0,0
T304,C470,89160,NEFT,Mumbai,ATM,23,Electronics,0,0
T305,C430,51936,UPI,Bengaluru,ATM,14,Food,0,0
T306,C277,100097,UPI,Delhi,Web,11,Food,1,1
T307,C087,166072,IMPS,Bengaluru,Mobile,10,Electronics,0,0
T308,C205,158439,NEFT,Delhi,Mobile,22,Electronics,1,1
T309,C298,44929,NEFT,Bengaluru,Web,22,Electronics,0,0
T310,C196,15762,Card,Bengaluru,ATM,16,Food,0,0
T311,C098,60752,IMPS,Mumbai,Mobile,4,Fuel,1,0
T312,C063,160035,Card,Mumbai,Mobile,13,Food,1,1
T313,C160,62252,Card,Mumbai,Mobile,5,Fuel,1,0
T314,C373,86623,IMPS,Pune,ATM,4,Retail,1,0
T315,C335,119294,IMPS,Mumbai,Web,3,Food,1,1
T316,C135,3408,UPI,Bengaluru,Web,17,Travel,1,0
T317,C328,63153,UPI,Pune,Mobile,0,Electronics,0,1
T318,C192,11673,IMPS,Delhi,Mobile,14,Fuel,0,0
T319,C328,72249,UPI,Pune,ATM,23,Travel,1,0
T320,C258,138161,NEFT,Pune,Web,21,Food,0,0
T321,C090,110527,IMPS,Bengaluru,Mobile,0,Retail,0,1
T322,C475,110956,IMPS,Delhi,ATM,17,Electronics,1,1
T323,C146,166096,IMPS,Delhi,ATM,5,Food,0,0
T324,C078,145416,UPI,Delhi,ATM,22,Travel,1,1
T325,C189,192105,UPI,Delhi,Web,1,Food,1,1
T326,C296,96186,IMPS,Bengaluru,ATM,7,Retail,1,0
T327,C244,124778,UPI,Bengaluru,ATM,1,Retail,0,1
T328,C271,131207,Card,Delhi,Mobile,11,Retail,1,1
T329,C015,133819,Card,Pune,ATM,0,Travel,1,1
T330,C146,90160,NEFT,Mumbai,Mobile,2,Food,0,1
T331,C257,86049,IMPS,Delhi,Mobile,12,Fuel,1,0
T332,C267,65984,UPI,Delhi,Web,6,Electronics,1,0
T333,C083,70189,Card,Delhi,Web,15,Electronics,0,0
T334,C378,96027,Card,Mumbai,Web,11,Fuel,1,0
T335,C177,168930,UPI,Mumbai,Mobile,2,Electronics,0,1
T336,C265,30382,NEFT,Delhi,Mobile,22,Fuel,0,0
T337,C483,154598,NEFT,Delhi,ATM,22,Food,1,1
T338,C193,15764,UPI,Pune,Web,3,Electronics,0,1
T339,C457,155375,UPI,Bengaluru,Mobile,9,Food,0,0
T340,C478,176449,Card,Bengaluru,Web,23,Electronics,0,0
T341,C090,92648,NEFT,Pune,ATM,17,Fuel,1,0
T342,C116,53409,UPI,Mumbai,ATM,21,Travel,1,0
T343,C265,54303,UPI,Pune,Web,7,Food,0,0
T344,C474,171873,UPI,Bengaluru,Web,20,Retail,1,1
T345,C489,48478,Card,Mumbai,Mobile,5,Food,0,0
T346,C103,86751,UPI,Delhi,Web,19,Food,1,0
T347,C169,197301,Card,Delhi,Mobile,4,Electronics,0,0
T348,C127,149931,UPI,Bengaluru,Web,22,Electronics,0,0
T349,C381,168523,IMPS,Bengaluru,Mobile,14,Electronics,1,1
T350,C141,191068,UPI,Pune,ATM,8,Food,1,1
T351,C058,129226,IMPS,Bengaluru,ATM,8,Travel,0,0
T352,C161,79639,IMPS,Pune,Mobile,13,Retail,1,0
T353,C034,184826,NEFT,Pune,Mobile,1,Travel,0,1
T354,C171,180085,NEFT,Pune,Web,6,Fuel,1,1
T355,C494,139509,UPI,Pune,Web,5,Electronics,0,0
T356,C394,148756,Card,Mumbai,Web,14,Fuel,0,0
T357,C372,23008,IMPS,Mumbai,ATM,14,Electronics,0,0
T358,C026,34210,UPI,Bengaluru,Mobile,4,Fuel,1,0
T359,C049,144360,IMPS,Mumbai,Mobile,19,Electronics,1,1
T360,C120,185537,IMPS,Bengaluru,Mobile,13,Electronics,1,1
T361,C061,24714,UPI,Delhi,Mobile,10,Food,0,0
T362,C262,7689,IMPS,Delhi,Mobile,4,Retail,1,0
T363,C150,72486,NEFT,Delhi,ATM,3,Food,0,1
T364,C127,180517,Card,Delhi,Mobile,7,Retail,1,1
T365,C355,64255,NEFT,Delhi,ATM,5,Fuel,1,0
T366,C157,177408,NEFT,Mumbai,ATM,6,Electronics,0,0
T367,C447,36820,IMPS,Mumbai,ATM,21,Retail,0,0
T368,C220,151777,IMPS,Bengaluru,Mobile,9,Fuel,1,1
T369,C205,46826,IMPS,Bengaluru,Web,13,Electronics,1,0
T370,C106,29923,Card,Mumbai,Web,6,Food,0,0
T371,C185,173651,UPI,Delhi,ATM,16,Retail,1,1
T372,C061,2157,Card,Bengaluru,Web,21,Electronics,0,0
T373,C431,129637,Card,Bengaluru,Mobile,16,Fuel,1,1
T374,C283,80772,NEFT,Pune,ATM,14,Retail,0,0
T375,C443,147860,NEFT,Bengaluru,Mobile,11,Food,0,0
T376,C046,51383,IMPS,Bengaluru,ATM,15,Fuel,0,0
T377,C424,19792,IMPS,Bengaluru,ATM,8,Food,1,0
T378,C353,145437,IMPS,Mumbai,ATM,21,Electronics,1,1
T379,C257,140721,UPI,Pune,Mobile,21,Fuel,1,1
T380,C154,97233,Card,Bengaluru,Web,10,Electronics,1,0
T381,C245,18408,NEFT,Pune,Mobile,13,Electronics,0,0
T382,C202,65026,NEFT,Bengaluru,Web,12,Travel,1,0
T383,C109,142430,Card,Delhi,ATM,11,Fuel,0,0
T384,C259,137972,UPI,Bengaluru,ATM,4,Food,1,1
T385,C061,162933,NEFT,Delhi,Mobile,19,Travel,0,0
T386,C118,106395,NEFT,Mumbai,Mobile,19,Fuel,1,1
T387,C390,68784,UPI,Bengaluru,Mobile,3,Travel,1,1
T388,C404,68846,UPI,Mumbai,Mobile,9,Travel,1,0
T389,C172,196302,NEFT,Delhi,Mobile,23,Food,0,0
T390,C050,51934,IMPS,Mumbai,ATM,8,Fuel,1,0
T391,C286,172196,IMPS,Delhi,Web,18,Electronics,1,1
T392,C200,178087,IMPS,Bengaluru,Mobile,7,Food,1,1
T393,C495,74815,IMPS,Mumbai,ATM,18,Food,0,0
T394,C063,176067,IMPS,Bengaluru,ATM,23,Retail,0,0
T395,C098,55136,Card,Mumbai,Web,8,Travel,0,0
T396,C324,58629,UPI,Bengaluru,ATM,2,Retail,1,1
T397,C465,8453,Card,Delhi,Mobile,3,Travel,1,1
T398,C098,74874,UPI,Bengaluru,Web,20,Food,0,0
T399,C232,69859,IMPS,Bengaluru,ATM,8,Fuel,1,0
T400,C215,74879,Card,Delhi,Mobile,12,Fuel,1,0
T401,C044,191236,IMPS,Delhi,Mobile,21,Food,1,1
T402,C158,164055,NEFT,Pune,Mobile,2,Food,0,1
T403,C153,167666,IMPS,Mumbai,Web,19,Retail,1,1
T404,C367,143618,IMPS,Mumbai,Mobile,15,Fuel,1,1
T405,C113,165045,NEFT,Mumbai,Mobile,12,Travel,1,1
T406,C124,169520,IMPS,Delhi,ATM,6,Electronics,0,0
T407,C337,65942,UPI,Mumbai,ATM,9,Electronics,1,0
T408,C314,73152,NEFT,Delhi,Web,9,Retail,0,0
T409,C461,143758,Card,Pune,Web,22,Travel,0,0
T410,C005,111371,Card,Pune,Mobile,17,Retail,1,1
T411,C030,117054,NEFT,Bengaluru,Mobile,8,Travel,1,1
T412,C496,3745,UPI,Delhi,Mobile,10,Fuel,0,0
T413,C192,104937,UPI,Delhi,Web,3,Retail,0,1
T414,C282,186940,NEFT,Pune,Web,21,Retail,1,1
T415,C215,79943,NEFT,Bengaluru,Web,21,Electronics,0,0
T416,C040,138993,IMPS,Pune,ATM,22,Travel,1,1
T417,C020,183457,Card,Delhi,ATM,19,Retail,1,1
T418,C047,138264,UPI,Delhi,ATM,3,Retail,1,1
T419,C216,60844,IMPS,Delhi,ATM,7,Electronics,0,0
T420,C480,121157,UPI,Mumbai,Web,0,Food,1,1
T421,C475,65502,NEFT,Pune,Mobile,14,Fuel,0,0
