Customer_ID,Age,Gender,Annual_Income,Employment_Years,Monthly_Income,Existing_Loan,EMI,Credit_Card_Utilization,Missed_Payments,Savings,Loan_History,Credit_Score
C076,53,Male,1295894,30,107991,180676,38156,57,7,1422564,Poor,530
C077,56,Male,517837,32,43153,740228,1043,76,3,505572,Good,697
C078,29,Male,768007,5,64000,527889,24058,39,0,916503,Good,715
C079,27,Male,1429388,33,119115,1101949,35792,33,6,1154068,Excellent,681
C080,49,Male,1303432,31,108619,812703,25824,47,7,545635,Good,624
C081,53,Female,1434616,34,119551,981723,46334,37,4,973063,Good,684
C082,57,Male,687772,11,57314,869692,31197,91,4,32372,Good,634
C083,29,Female,810832,34,67569,100056,31297,42,3,878875,Average,667
C084,28,Female,446461,17,37205,692658,12940,33,1,1208082,Average,702
C085,32,Male,982620,4,81885,1080078,33371,56,6,1279984,Average,566
C086,49,Female,580962,20,48413,677614,6447,66,7,315009,Good,621
C087,42,Female,597922,32,49826,175808,28127,18,5,177444,Excellent,686
C088,56,Male,1044394,2,87032,1134147,3400,33,4,849216,Poor,536
C089,23,Male,465694,35,38807,347255,694,86,0,1366497,Good,760
C090,22,Female,293337,31,24444,64050,28645,73,6,410211,Excellent,666
C091,58,Male,578538,33,48211,382557,20161,73,1,1187198,Average,704
C092,39,Female,535306,2,44608,296078,32898,5,2,201476,Poor,558
C093,59,Male,1258334,4,104861,574315,39943,88,5,418401,Good,602
C094,36,Male,1476916,16,123076,961864,1621,27,3,1023796,Good,701
C095,31,Female,399049,1,33254,717372,44356,63,3,1264404,Good,644
C096,24,Female,791264,31,65938,914516,3500,90,8,1268491,Excellent,645
C097,43,Male,1690110,4,140842,1144218,19471,26,7,1232770,Excellent,620
C098,35,Male,486374,15,40531,752576,16431,45,7,93980,Good,602
C099,22,Male,320148,11,26679,503927,22176,5,8,686382,Average,553
C100,53,Female,1477753,21,123146,577916,27635,43,4,100635,Poor,570
C101,21,Female,952931,28,79410,732898,44643,39,2,1464872,Poor,622
C102,29,Male,597380,29,49781,905862,21358,49,2,10272,Good,704
C103,54,Male,325968,13,27164,767681,36952,74,6,790199,Average,585
C104,48,Female,1282370,32,106864,548673,23939,39,1,486136,Excellent,763
C105,29,Male,492275,24,41022,672405,24581,82,2,1338950,Good,720
C106,58,Female,1638710,33,136559,520325,511,74,2,446683,Good,713
C107,43,Female,1331456,7,110954,309299,41929,45,2,503200,Good,672
C108,59,Female,1474344,13,122862,561913,12754,38,5,1217112,Good,653
C109,21,Male,707020,22,58918,240490,44103,75,5,885469,Average,625
C110,51,Female,1189189,30,99099,528547,49077,48,2,256323,Good,704
C111,54,Female,1749778,16,145814,506582,26753,8,8,709754,Good,602
C112,36,Male,886721,31,73893,426333,49240,18,3,1307738,Good,705
C113,25,Female,901943,12,75161,537617,23487,50,0,510222,Excellent,756
C114,53,Female,1241044,32,103420,1199527,5145,5,8,983063,Average,589
C115,45,Female,1615619,11,134634,998158,8254,81,1,924142,Good,712
C116,28,Male,306523,7,25543,62728,30439,49,2,738864,Good,677
C117,58,Male,1692883,21,141073,675064,14847,65,0,741783,Good,754
C118,22,Female,1665079,18,138756,230691,40927,21,7,272568,Average,578
C119,42,Female,1231748,18,102645,337160,29804,7,3,935180,Good,703
C120,30,Female,1627440,15,135620,631263,42920,11,1,610126,Good,720
C121,34,Male,1432679,27,119389,49799,24527,61,5,962779,Good,668
C122,27,Female,674417,35,56201,129970,34764,46,6,799610,Good,646
C123,37,Female,489715,5,40809,791417,37498,16,8,1238963,Poor,472
C124,47,Female,1657577,26,138131,973393,39685,70,2,1372179,Average,684
C125,22,Female,806082,35,67173,1014402,9162,59,2,350912,Excellent,743
C126,24,Female,345895,14,28824,804265,26164,94,7,53277,Good,591
C127,34,Female,731985,26,60998,1090056,43318,92,7,101500,Average,572
C128,26,Male,736091,17,61340,1090071,40530,89,3,1330113,Good,688
C129,36,Female,1178164,6,98180,93453,21780,48,7,150537,Average,540
C130,21,Female,1216238,0,101353,408257,24876,73,6,215853,Good,573
C131,35,Female,1788492,5,149041,582361,39248,69,0,795493,Excellent,735
C132,50,Male,813801,8,67816,200037,25638,41,2,1234224,Good,688
C133,24,Female,364645,33,30387,959474,41108,8,8,1384356,Excellent,647
C134,30,Female,1485557,29,123796,427079,28295,63,5,854739,Good,665
C135,32,Male,1530756,32,127563,289789,4286,41,2,1397914,Average,694
C136,27,Female,1635196,24,136266,336252,32291,44,1,1380917,Poor,641
C137,31,Male,645981,30,53831,205186,5410,88,8,697889,Average,572
C138,27,Female,1765341,5,147111,426184,30142,62,6,78017,Poor,485
C139,45,Female,820386,25,68365,1136486,48039,53,1,1319361,Good,737
C140,55,Female,1068689,17,89057,1093730,3827,17,3,464994,Good,694
C141,31,Female,703778,9,58648,211793,14344,56,5,217327,Excellent,652
C142,29,Male,1155618,31,96301,1158787,4419,78,8,1026556,Poor,517
C143,45,Female,651543,13,54295,936606,18178,19,3,1413893,Good,690
C144,56,Male,1080733,3,90061,587990,46405,37,8,1119861,Good,562
C145,44,Male,985717,9,82143,404955,11133,52,6,525491,Excellent,641
C146,25,Male,949170,22,79097,1184145,17739,58,6,1325027,Average,617
C147,53,Male,1146637,29,95553,1118435,2361,69,3,1399789,Good,708
C148,25,Male,726119,30,60509,706177,35386,72,0,144105,Good,736
C149,26,Male,1259063,3,104921,777106,32580,56,3,1138194,Average,617
C150,49,Female,978030,29,81502,1129941,4558,23,4,765666,Excellent,721
C151,22,Female,1506345,26,125528,242151,39054,89,4,969499,Average,644
C152,29,Female,1201095,16,100091,935250,21444,16,0,9688,Average,697
C153,30,Female,1408935,3,117411,123494,25534,39,0,769029,Good,705
C154,54,Male,1503786,30,125315,853384,35562,48,3,294407,Excellent,718
C155,57,Female,1429615,34,119134,555285,31156,18,2,1224390,Average,691
C156,38,Male,1385615,25,115467,705703,24184,65,7,130407,Excellent,644
C157,30,Female,332620,30,27718,745048,21188,84,8,161349,Excellent,625
C158,37,Female,1542291,11,128524,171250,14273,50,6,597169,Average,583
C159,35,Female,379656,9,31638,971435,45591,83,2,1107034,Average,647
C160,29,Female,1020076,31,85006,852097,38276,72,3,1472077,Good,700
C161,50,Female,700994,24,58416,585842,13826,77,8,888403,Excellent,642
C162,47,Male,1736162,21,144680,1051874,29489,28,1,962753,Good,743
C163,42,Female,1638866,25,136572,26979,346,95,2,298876,Good,708
C164,36,Male,525297,34,43774,416287,40946,38,8,1472393,Average,579
C165,30,Female,275271,11,22939,791093,5714,49,4,1245571,Good,664
C166,49,Male,1750168,25,145847,1023346,4658,72,8,1207411,Good,617
C167,34,Female,879900,24,73325,916649,20877,64,2,612733,Good,714
C168,22,Female,1098894,31,91574,597421,8147,9,4,1262694,Average,661
C169,36,Female,1097396,35,91449,654885,47259,9,3,186756,Average,654
C170,60,Female,928348,20,77362,702993,14966,53,3,881967,Good,705
C171,43,Female,260068,30,21672,1007307,25162,80,1,139423,Excellent,749
C172,46,Male,1645369,3,137114,736910,14962,32,4,920057,Good,639
C173,23,Male,419747,28,34978,626056,41654,48,3,829459,Excellent,728
C174,42,Female,1438429,12,119869,538517,35915,23,3,511711,Excellent,703
C175,31,Female,1209159,25,100763,960859,30540,33,6,401711,Excellent,670
C176,57,Female,1172034,16,97669,702195,2604,50,6,55102,Good,625
C177,31,Female,513311,25,42775,1086113,18338,31,7,682304,Poor,531
C178,22,Female,1170051,22,97504,518344,48282,6,7,1442517,Poor,535
C179,25,Female,1213899,12,101158,447316,2984,27,4,1009920,Average,636
C180,32,Female,1506327,24,125527,411275,12456,59,2,341252,Good,711
C181,47,Female,678491,25,56540,862396,38696,35,4,715832,Excellent,711
C182,48,Male,1443175,23,120264,893486,15068,5,8,1010841,Average,588
C183,51,Male,264550,11,22045,728066,43647,94,4,519722,Good,642
C184,41,Male,752563,32,62713,1024075,34811,19,7,564512,Good,627
C185,39,Female,274657,10,22888,245658,26086,35,6,1419207,Excellent,653
C186,33,Female,1156200,35,96350,829278,45757,38,7,618462,Good,623
C187,40,Male,754071,28,62839,365521,9916,95,6,1273614,Excellent,680
C188,41,Female,1434313,32,119526,271970,33589,76,0,24099,Excellent,765
C189,49,Female,1248955,2,104079,1193720,11435,7,4,626172,Good,634
C190,22,Female,460298,10,38358,1165120,22293,79,0,1128129,Excellent,757
C191,37,Female,1237665,31,103138,885059,27792,27,4,1294710,Average,655
C192,47,Male,1168169,23,97347,752384,30572,34,4,555606,Average,644
C193,25,Female,428044,2,35670,907451,25134,22,8,1413312,Good,565
C194,50,Female,1760823,6,146735,717392,42199,74,3,586817,Good,648
C195,48,Female,581637,29,48469,300918,48540,80,2,337172,Poor,601
C196,33,Female,1276558,10,106379,51242,16688,23,6,1319009,Excellent,657
C197,31,Female,1213581,29,101131,1128367,28533,59,1,907465,Good,738
C198,38,Female,1508852,17,125737,639646,20112,10,5,417897,Excellent,684
C199,50,Male,1565307,15,130442,1104794,49605,27,2,1017086,Average,672
C200,45,Female,1691669,21,140972,500558,36242,65,3,1373801,Good,701
C201,43,Male,862591,28,71882,1101463,44338,24,8,729927,Average,574
C202,46,Female,1581030,22,131752,619262,29909,36,4,629836,Good,681
C203,32,Male,1654903,10,137908,478224,7990,28,1,593932,Good,709
C204,48,Male,1406976,4,117248,511986,18378,72,5,20669,Average,565
C205,47,Male,1300010,19,108334,254142,18976,66,3,985601,Good,701
C206,59,Male,1622124,34,135177,44158,47959,52,7,902208,Poor,527
C207,28,Female,1120850,29,93404,434220,22063,27,4,356959,Poor,578
C208,56,Male,1413961,35,117830,750078,34822,35,3,1414946,Poor,606
C209,34,Male,1561701,14,130141,1107797,42879,83,5,512224,Good,634
C210,42,Male,1416958,16,118079,793811,46742,91,1,1049478,Excellent,750
C211,47,Female,1264421,6,105368,496909,20863,65,5,1046499,Good,626
C212,41,Female,466054,20,38837,981038,13781,20,5,1225009,Average,641
C213,38,Female,521697,10,43474,1164404,30080,10,3,762850,Good,674
C214,33,Female,1654800,31,137900,616129,35219,94,6,942785,Average,607
C215,56,Male,450247,14,37520,51337,26019,30,2,787511,Excellent,733
C216,41,Male,357253,22,29771,628383,33273,52,4,134162,Good,668
C217,50,Male,514134,25,42844,301343,6807,77,2,1077455,Good,724
C218,39,Male,1355881,12,112990,651893,24927,26,7,240563,Good,597
C219,23,Female,764384,21,63698,368890,24480,10,6,472320,Excellent,676
C220,59,Male,635162,5,52930,374008,23372,47,1,913422,Poor,596
C221,32,Male,1733384,3,144448,624322,38324,5,0,1301436,Good,712
C222,38,Female,700413,17,58367,73855,41363,14,0,1229551,Poor,652
C223,29,Female,1155274,3,96272,769511,25124,48,3,803291,Average,615
C224,38,Male,1709423,23,142451,170520,25102,44,0,886533,Average,722
C225,43,Female,1307370,29,108947,1108374,39481,38,5,576879,Average,625
C226,31,Male,623386,33,51948,883140,44269,75,0,1165735,Average,718
C227,34,Female,1637734,7,136477,738300,25625,11,5,727722,Good,629
C228,57,Female,1063054,25,88587,460961,10214,56,3,229366,Excellent,721
C229,37,Female,795429,14,66285,74269,26486,28,4,603249,Average,629
C230,39,Male,1486169,26,123847,187805,14326,12,2,1121038,Poor,631
C231,23,Male,1400640,29,116720,1000497,29472,51,3,1050810,Good,705
C232,47,Male,758883,17,63240,291921,29452,82,3,239485,Excellent,706
C233,46,Female,960300,18,80025,937525,36615,76,7,936886,Good,620
C234,24,Female,554021,30,46168,735693,1075,31,0,569289,Excellent,788
C235,21,Male,1744596,13,145383,464836,10044,5,8,606059,Good,595
C236,47,Female,638321,11,53193,824836,11535,73,0,1130764,Good,732
C237,40,Female,271397,3,22616,969214,22808,68,7,1233464,Good,581
C238,32,Male,540433,14,45036,566034,11952,53,2,1410052,Excellent,738
C239,22,Male,1380648,24,115054,748586,21875,40,7,730122,Good,629
C240,49,Female,752328,32,62694,622386,47692,75,8,748140,Excellent,632
C241,58,Female,831299,23,69274,886171,11618,82,3,1002785,Good,704
C242,34,Female,1180225,7,98352,551512,22175,55,1,279500,Good,688
C243,55,Male,1623512,20,135292,1156804,46750,43,6,770546,Good,643
C244,34,Male,653509,0,54459,818038,44725,59,6,592178,Excellent,608
C245,55,Female,1122711,24,93559,697920,45604,11,2,245427,Excellent,738
C246,59,Female,897593,1,74799,1044803,11255,65,5,548082,Good,603
C247,58,Female,1198692,10,99891,1112528,5640,24,3,274374,Excellent,697
C248,53,Male,1319590,23,109965,77586,30474,31,8,1180581,Excellent,647
C249,54,Female,1627075,24,135589,747390,41165,19,5,913920,Excellent,698
C250,60,Male,1453931,4,121160,729867,33473,51,6,84185,Excellent,613
C251,31,Female,366806,13,30567,274171,41520,10,0,289548,Good,725
C252,49,Female,316134,6,26344,418545,16679,82,8,331086,Poor,457
C253,43,Male,612502,16,51041,145755,15231,62,2,1121198,Good,712
C254,47,Female,287712,33,23976,936429,34344,63,7,120886,Good,613
C255,56,Female,1601435,19,133452,547511,17371,55,3,1395885,Excellent,734
C256,37,Female,1704435,31,142036,389013,1718,94,5,1229453,Average,634
C257,41,Male,534462,0,44538,10961,7138,72,7,349598,Good,560
C258,58,Male,1511104,27,125925,1023504,48146,70,5,545384,Good,653
C259,23,Male,1760337,20,146694,216408,16241,8,2,1452453,Average,695
C260,52,Male,977975,0,81497,263988,32558,54,5,681554,Good,601
C261,32,Female,1106423,13,92201,536929,41454,39,8,235882,Good,577
C262,21,Male,1638957,6,136579,999696,2473,94,0,554525,Good,708
C263,43,Male,596387,13,49698,776848,19176,52,6,1222195,Good,632
C264,59,Male,700057,6,58338,1012399,26806,42,8,651713,Good,567
C265,31,Male,299844,21,24987,957232,31815,10,1,501425,Excellent,765
C266,37,Female,282287,27,23523,775609,16975,14,3,666289,Good,705
C267,47,Female,564161,30,47013,951751,6338,48,2,1463239,Excellent,757
C268,60,Female,1719053,17,143254,801055,16408,41,4,521245,Excellent,701
C269,28,Female,839280,31,69940,557144,39036,43,3,795355,Good,699
C270,34,Male,764881,2,63740,710305,37235,84,7,1410572,Average,538
C271,32,Female,1429058,4,119088,7520,21130,70,2,1357438,Good,674
C272,26,Female,1440519,26,120043,488872,14302,23,1,1029015,Average,713
C273,40,Male,474627,10,39552,773212,15127,82,2,444169,Average,644
C274,26,Male,900006,10,75000,1062191,43768,44,3,1414322,Good,673
C275,57,Female,600447,5,50037,937350,28206,7,4,1444855,Good,648
C276,46,Male,1297600,18,108133,865134,5721,90,8,679953,Average,566
C277,51,Male,1143269,22,95272,179903,41657,59,8,316445,Good,597
C278,34,Male,528397,32,44033,430503,23959,93,1,381907,Good,724
C279,47,Male,339493,6,28291,971111,48388,15,8,1427676,Good,574
C280,50,Male,1788978,2,149081,1143006,31573,40,3,509142,Average,606
C281,40,Male,1766842,31,147236,236614,44778,56,6,782787,Good,642
C282,29,Female,267898,20,22324,570371,32799,87,5,320815,Excellent,680
C283,35,Female,513546,18,42795,1138774,21589,56,7,757129,Poor,522
C284,53,Male,1238379,21,103198,949259,44516,40,4,941787,Average,648
C285,41,Male,1425773,23,118814,323265,41762,14,6,344333,Good,639
C286,25,Female,311434,16,25952,434491,2484,22,5,965225,Good,665
C287,47,Female,1301509,7,108459,685698,42256,31,4,73963,Excellent,659
C288,27,Male,671427,4,55952,207485,40573,46,3,718250,Excellent,679
C289,51,Female,1366009,16,113834,21658,6835,28,3,1448268,Good,700
C290,34,Female,676479,34,56373,59403,6521,44,8,893312,Good,617
C291,42,Male,297033,33,24752,933160,33277,30,8,1296867,Excellent,647
C292,22,Female,533306,4,44442,626784,7416,90,1,258018,Good,677
C293,37,Male,1116477,2,93039,906015,31177,83,1,38846,Average,627
C294,37,Female,925815,29,77151,550227,46376,46,6,563209,Poor,539
C295,25,Male,979671,17,81639,794918,22369,36,7,100962,Excellent,639
C296,38,Female,1711165,9,142597,1114349,31273,69,2,642252,Good,679
C297,53,Female,1744997,18,145416,298084,26274,69,4,1264153,Average,644
C298,58,Female,1495258,6,124604,664859,3684,33,0,1389761,Poor,624
C299,44,Male,951449,3,79287,773786,23757,35,0,300582,Average,662
C300,26,Female,363045,0,30253,382322,1864,59,4,1451886,Good,631
C301,24,Male,1067422,12,88951,1084904,40199,57,5,577554,Good,632
C302,60,Female,1389859,10,115821,1182529,33588,38,0,111574,Poor,612
C303,22,Female,1103572,4,91964,546779,37125,51,1,1073803,Good,691
C304,40,Female,721928,14,60160,388896,32330,78,5,286869,Excellent,662
C305,24,Male,1772162,5,147680,77077,16806,77,8,1455155,Excellent,599
C306,42,Male,1049186,8,87432,689828,48077,45,0,1459781,Good,720
C307,29,Male,282078,27,23506,209219,17971,55,3,185200,Average,655
C308,23,Female,1443210,4,120267,98474,14149,5,6,1000892,Excellent,642
C309,44,Male,830190,0,69182,552827,47299,74,5,373532,Poor,489
C310,33,Female,1608938,12,134078,943163,12398,84,4,362589,Excellent,679
C311,22,Female,817848,6,68154,1046979,23877,64,3,677727,Good,655
C312,28,Male,431404,27,35950,861718,11631,62,0,753052,Good,756
C313,21,Male,946255,29,78854,1135901,8948,78,6,1315776,Good,652
C314,37,Female,1570331,21,130860,1020395,6634,29,2,1348602,Good,730
C315,36,Male,1733059,30,144421,220050,46604,91,2,945516,Good,712
C316,47,Male,1290756,2,107563,227215,9122,46,1,315077,Excellent,708
C317,24,Male,676263,3,56355,354982,47793,23,5,351206,Good,605
C318,40,Female,775684,25,64640,635890,2103,77,2,278405,Excellent,740
C319,53,Male,967244,6,80603,171154,22694,82,5,671689,Excellent,647
C320,52,Male,330377,16,27531,179083,7559,58,8,656970,Excellent,629
C321,37,Male,597050,31,49754,217655,28224,67,4,177397,Good,668
C322,34,Female,351600,10,29300,1022445,45531,69,0,280716,Excellent,738
C323,38,Female,767609,7,63967,649904,43783,23,2,1113627,Good,685
C324,39,Female,1058437,13,88203,794403,44296,42,4,120160,Good,646
C325,54,Male,656433,33,54702,799963,44909,56,4,44064,Average,628
C326,55,Female,1352858,23,112738,81143,17396,18,5,203265,Average,624
C327,55,Female,1781006,2,148417,1057790,7016,22,5,182426,Excellent,636
C328,47,Female,1586902,12,132241,984568,42976,93,1,647655,Good,701
C329,45,Male,1359269,13,113272,917727,2159,95,1,1011082,Poor,620
C330,55,Male,754540,27,62878,768049,12686,53,3,1046808,Excellent,738
C331,55,Male,1703161,26,141930,800064,4035,48,0,661421,Good,757
C332,32,Female,984305,24,82025,786416,30555,47,8,17059,Good,595
C333,51,Male,488116,14,40676,607845,26978,83,0,301694,Excellent,753
C334,38,Female,1214082,1,101173,1083249,4477,66,4,63355,Excellent,644
C335,37,Male,1570675,12,130889,510261,5581,14,7,213728,Average,567
C336,51,Male,1148385,3,95698,572206,46441,95,5,1241445,Good,609
C337,38,Male,1586673,16,132222,454007,38254,76,4,703753,Average,629
C338,33,Female,1360604,16,113383,119207,16699,86,8,1183021,Good,601
C339,60,Male,396726,22,33060,254140,48554,63,1,1463845,Good,736
C340,25,Female,709824,9,59152,557751,7928,61,3,717114,Good,669
C341,36,Female,755698,4,62974,736056,47026,76,1,374093,Excellent,703
C342,57,Female,1362914,32,113576,1127151,5643,31,0,1318447,Poor,666
C343,60,Female,568775,28,47397,1080922,16339,59,6,916082,Good,650
C344,26,Female,913448,34,76120,210346,33869,21,3,597435,Average,664
C345,38,Female,1017688,6,84807,225311,9929,61,1,229182,Good,686
C346,48,Female,929397,31,77449,1137835,22579,64,1,311323,Average,691
C347,35,Female,732029,21,61002,1195525,19020,55,8,289050,Good,602
C348,23,Female,607761,17,50646,1011932,46469,8,5,1175033,Good,661
C349,37,Male,1257573,25,104797,429746,16208,31,4,1181305,Average,657
C350,28,Male,601710,2,50142,1091826,8847,94,7,153334,Poor,461
C351,21,Male,333152,12,27762,61944,21072,48,5,669911,Poor,539
C352,58,Female,1432040,29,119336,833997,11476,87,4,891332,Average,648
C353,27,Male,665223,31,55435,890813,35483,5,8,58803,Average,565
C354,56,Female,1431359,9,119279,108907,20611,68,7,1020320,Average,564
C355,46,Female,934549,34,77879,459660,37597,50,2,936131,Good,719
C356,42,Male,622147,14,51845,216682,16334,54,6,581409,Good,626
C357,36,Male,274702,35,22891,848984,1751,15,2,1171500,Excellent,763
C358,42,Female,582499,15,48541,208424,49134,10,5,1290316,Good,655
C359,28,Male,1351572,7,112631,278044,43962,80,6,710309,Good,599
C360,56,Male,342390,4,28532,323916,39421,26,0,1010507,Good,712
C361,41,Female,676936,28,56411,448484,13196,51,3,112764,Average,655
C362,46,Female,1663800,30,138650,1039985,32183,95,1,586801,Average,691
C363,29,Female,542871,31,45239,332652,37988,82,8,1321224,Average,574
C364,27,Male,649557,9,54129,1188319,16918,68,8,132995,Good,564
C365,58,Male,1273739,23,106144,132465,17767,37,8,1052458,Average,584
C366,23,Female,1792409,30,149367,945510,20069,81,6,1061750,Average,613
C367,44,Female,396566,21,33047,975208,7527,93,2,1255810,Good,722
C368,54,Male,1727102,13,143925,1177777,48610,77,7,1361259,Poor,505
C369,49,Male,1736030,26,144669,742208,45645,93,2,48490,Good,694
C370,37,Male,791680,12,65973,918913,11492,63,8,410637,Good,581
C371,52,Female,1443853,0,120321,467762,5367,45,6,937766,Average,559
C372,34,Male,871144,9,72595,1112241,39778,51,5,1319264,Excellent,664
C373,40,Male,280660,18,23388,756894,48964,5,3,293232,Poor,586
C374,39,Male,872065,26,72672,405905,47204,13,5,537363,Good,660
C375,43,Female,1090460,23,90871,220037,48111,30,6,184751,Good,633
C376,34,Female,524152,18,43679,1169082,13114,90,0,172222,Good,734
C377,38,Male,792724,7,66060,727843,3147,29,5,157064,Good,621
C378,44,Female,1163383,29,96948,942545,6934,42,7,1347738,Excellent,668
C379,34,Female,1208688,32,100724,492883,49926,87,2,1454693,Excellent,745
C380,33,Male,389511,21,32459,127531,9644,9,7,1383867,Good,642
C381,36,Female,1452689,19,121057,593919,47854,69,8,866746,Excellent,633
C382,30,Female,1275745,24,106312,546064,22573,17,4,498914,Average,646
C383,50,Female,1064467,15,88705,661562,43692,39,5,564378,Poor,544
C384,59,Female,931815,32,77651,1009175,43924,41,8,1137985,Average,578
C385,60,Female,606741,10,50561,74064,34333,39,7,48258,Average,549
C386,26,Male,1094624,34,91218,495115,2262,48,2,771810,Average,688
C387,54,Female,1084706,10,90392,162804,17079,88,8,67512,Average,528
C388,35,Female,1035832,22,86319,631537,19345,83,8,15314,Good,593
C389,58,Male,1019099,18,84924,1124547,40982,53,7,1330072,Good,624
