Customer_ID,Age,Income,Savings,Credit_Score,Loan_Amount,Spending_Score,Customer_Segment
C267,33,488695,1197037,458,360672,78,Silver
C268,43,1310698,1310446,504,671115,89,Gold
C269,47,1255480,681634,654,409461,76,Gold
C270,37,1593446,194599,839,875788,79,Platinum
C271,50,1768902,639222,701,1039374,4,Gold
C272,52,1458322,774519,591,145992,23,Gold
C273,54,279768,447433,477,868090,32,Silver
C274,48,1759316,882180,637,769350,80,Gold
C275,25,844301,856454,761,999299,65,Gold
C276,25,1523104,120054,854,799647,20,Platinum
C277,49,1466480,1213067,494,752162,32,Gold
C278,33,1392143,1147464,375,538221,42,Gold
C279,52,1137199,185445,574,220642,74,Gold
C280,40,534151,940296,654,1068431,10,Silver
C281,34,830129,353775,837,954752,14,Gold
C282,48,611159,60686,584,653699,46,Silver
C283,27,1427718,1259494,811,571507,20,Platinum
C284,44,948234,1041544,560,969291,78,Gold
C285,49,529401,1438472,384,680441,20,Silver
C286,50,1450083,1007755,552,1014489,53,Gold
C287,37,1269247,256155,854,1082331,77,Platinum
C288,34,1149907,1402858,802,305958,3,Gold
C289,54,636932,1322180,610,608464,37,Silver
C290,21,1462474,72119,455,684943,62,Gold
C291,44,1762525,1338341,701,553070,68,Gold
C292,29,877985,658642,682,159893,32,Gold
C293,42,889936,518980,649,17577,97,Gold
C294,45,725566,584526,430,879593,96,Gold
C295,21,847280,246569,668,404226,28,Gold
C296,53,732189,503090,363,202753,82,Gold
C297,23,1749645,1063475,489,69959,92,Gold
C298,22,889468,28925,520,1037982,25,Gold
C299,59,1742394,1253712,612,212437,83,Gold
C300,45,494283,864863,480,1084899,50,Silver
C301,43,1261345,190516,536,481046,20,Gold
C302,44,829507,1419172,812,467126,40,Gold
C303,36,538490,1318531,550,15781,59,Silver
C304,58,440504,1470241,694,702158,81,Silver
C305,25,1099512,413315,436,1000912,61,Gold
C306,52,773778,1338908,868,141217,35,Gold
C307,43,489966,989623,417,408091,26,Silver
C308,36,597052,1350967,729,871601,68,Silver
C309,28,956438,1202353,852,780769,14,Gold
C310,50,267513,288562,600,535490,7,Silver
C311,35,291495,254403,522,185403,35,Silver
C312,46,1030083,237361,423,28204,5,Gold
C313,42,981131,1278724,791,1109902,52,Gold
C314,49,934017,203640,785,730657,23,Gold
C315,21,1551754,1327680,395,61191,32,Gold
C316,50,703308,968223,423,30143,91,Gold
C317,40,1740340,1046744,407,563179,88,Gold
C318,33,804487,205779,631,276639,87,Gold
C319,60,526450,718251,680,65083,8,Silver
C320,24,754633,579795,727,854643,27,Gold
C321,44,1567627,228117,602,563306,97,Gold
C322,46,696229,1090719,732,450861,54,Silver
C323,38,1195734,1122657,823,737576,82,Gold
C324,56,328218,111389,749,2565,17,Silver
C325,38,1257756,1134998,545,212227,27,Gold
C326,39,661158,1141946,652,6435,59,Silver
C327,52,908426,1189991,506,651401,93,Gold
C328,49,1345141,1067487,804,168532,84,Platinum
C329,49,1114222,736810,486,403687,66,Gold
C330,30,350008,1109499,360,49926,46,Silver
C331,34,1580462,746746,690,300812,14,Gold
C332,31,465178,1024421,645,795342,53,Silver
C333,38,1229897,277366,604,874153,95,Gold
C334,55,602853,932539,428,1001279,80,Silver
C335,58,591007,116014,476,1163817,5,Silver
C336,53,1694450,1451650,567,223946,65,Gold
C337,32,1603552,797393,862,71683,42,Platinum
C338,41,321837,392898,631,46621,36,Silver
C339,50,1598654,704937,840,773720,78,Platinum
C340,54,1727121,250692,597,812354,81,Gold
C341,25,1170026,1025574,618,523325,15,Gold
C342,24,1424823,708938,606,466470,78,Gold
C343,45,389209,627022,753,849498,93,Silver
C344,58,930009,1299292,889,522841,68,Gold
C345,51,1764777,845396,888,285936,68,Platinum
C346,47,1281803,21446,705,887654,30,Gold
C347,55,862448,1386048,392,455982,70,Gold
C348,22,1552299,280013,557,238447,21,Gold
C349,26,314945,1199528,539,683654,77,Silver
C350,53,375176,1109015,680,191622,54,Silver
C351,31,291582,1251172,828,485056,45,Silver
C352,27,1536146,1301010,859,206008,89,Platinum
C353,29,1680144,974022,388,809747,29,Gold
C354,23,348640,1353226,701,291505,99,Silver
C355,46,679106,345782,476,1148814,50,Silver
C356,51,1467273,1326906,650,1172171,4,Gold
C357,39,1792871,594251,464,279102,29,Gold
C358,52,1647653,1344931,537,12214,56,Gold
C359,36,1464829,1352693,365,120782,69,Gold
C360,26,1034852,633330,639,713400,93,Gold
C361,56,796838,1018627,356,81516,26,Gold
C362,58,450678,1239193,661,116180,47,Silver
C363,59,971283,1302884,592,519674,26,Gold
C364,54,682488,268118,686,908840,40,Silver
C365,59,1531525,372194,712,525483,20,Gold
C366,37,1366922,923859,715,1083897,60,Gold
C367,33,591645,766225,732,559599,14,Silver
C368,47,802347,1215303,730,541261,99,Gold
C369,23,1548791,160230,779,1012499,7,Platinum
C370,28,842268,87663,578,593931,47,Gold
C371,25,1040759,12166,503,411807,51,Gold
C372,46,1767823,343877,546,1148147,95,Gold
C373,38,1789047,1249833,828,502203,1,Platinum
C374,53,1150755,931095,689,1033795,55,Gold
C375,54,295231,1355099,451,918563,28,Silver
C376,56,986401,1318109,410,464724,13,Gold
C377,43,841375,367576,488,847486,82,Gold
C378,48,1366584,407516,848,551805,12,Platinum
C379,43,1170600,659096,844,777626,19,Gold
C380,36,559551,147943,584,977939,22,Silver
C381,22,1055844,1472997,667,863771,43,Gold
C382,49,368274,403591,606,71928,6,Silver
C383,46,1511857,936572,737,1176505,19,Gold
C384,52,318519,759554,390,644058,73,Silver
C385,52,274970,510592,556,775697,25,Silver
C386,55,804673,954236,818,1169698,64,Gold
C387,37,469260,443007,388,444977,16,Silver
C388,59,1614336,1379049,893,1152594,99,Platinum
C389,56,282166,27235,839,753351,63,Silver
C390,46,1645195,474071,377,154981,49,Gold
C391,56,1493215,1352993,852,469371,73,Platinum
C392,30,1042184,1135304,372,788148,67,Gold
C393,57,1463535,1091558,432,134405,20,Gold
C394,43,1309599,313204,604,879633,25,Gold
C395,57,773406,1293386,451,711748,54,Gold
C396,30,1202928,159087,783,102843,55,Platinum
C397,38,1111825,741106,353,758685,22,Gold
C398,38,1455341,490290,458,251073,25,Gold
C399,29,1474208,1267327,617,1179847,18,Gold
C400,24,1459114,495540,510,804842,88,Gold
C401,36,1248009,232011,579,626163,75,Gold
C402,21,501681,936785,446,470418,45,Silver
C403,23,1195502,408279,670,128506,41,Gold
C404,46,1524527,1308976,611,1130437,16,Gold
C405,46,1624821,615526,433,497722,8,Gold
C406,29,1063350,913370,580,506387,79,Gold
C407,39,955505,712940,482,425818,6,Gold
C408,48,598443,183540,619,423101,89,Silver
C409,39,828745,243022,394,1038125,8,Gold
C410,42,741078,490851,472,62450,97,Gold
C411,59,1752111,1380414,597,225895,80,Gold
C412,55,1056446,1231921,550,220141,1,Gold
C413,59,602278,48639,678,195200,18,Silver
C414,49,748579,868068,733,107710,32,Gold
C415,41,399237,131710,883,1156195,87,Silver
C416,59,1618457,1213400,867,600844,45,Platinum
C417,42,273432,769897,669,808276,100,Silver
C418,41,834733,180767,641,670897,37,Gold
C419,53,323383,1354958,364,662928,43,Silver
C420,54,1323307,811973,631,1134135,94,Gold
C421,28,894186,577127,801,575197,13,Gold
C422,47,978721,1386304,729,612192,62,Gold
C423,43,1341038,1265116,889,991775,78,Platinum
C424,42,1731648,393594,459,1046865,50,Gold
C425,56,544340,830166,790,1161770,67,Silver
C426,49,1521763,723646,695,1045620,97,Gold
C427,42,1695158,750949,540,212852,54,Gold
C428,46,259036,398452,567,452118,50,Silver
C429,25,1475400,16530,561,279559,67,Gold
C430,43,722960,444114,694,852102,39,Gold
C431,39,1507287,428766,641,1155854,95,Gold
C432,43,1744428,607447,389,179859,58,Gold
C433,38,1749162,1360259,864,714098,27,Platinum
C434,54,734516,1239294,509,76667,82,Gold
C435,54,997745,456644,831,165458,28,Gold
C436,22,936657,169263,447,27446,20,Gold
C437,25,350235,1003644,854,713809,21,Silver
C438,40,329794,1452556,853,861547,38,Silver
C439,37,1193341,605047,433,691243,69,Gold
C440,32,1365541,1109426,433,950708,1,Gold
C441,57,1092942,357077,393,48498,49,Gold
C442,56,339904,906909,853,7677,2,Silver
C443,58,1660827,1411334,775,929937,40,Platinum
C444,56,1790471,1404953,858,650401,19,Platinum
C445,30,931659,908617,750,891410,29,Gold
C446,36,895262,1453355,804,690319,12,Gold
C447,50,1552162,439343,402,690103,35,Gold
C448,25,456974,1488489,393,1177389,54,Silver
C449,53,952708,388933,704,313148,43,Gold
C450,53,815077,1382802,883,1154519,68,Gold
C451,38,656945,365182,541,351553,1,Silver
C452,21,1075124,857062,460,554134,9,Gold
C453,45,1419161,1188789,629,371296,16,Gold
C454,53,754485,496372,877,1114434,64,Gold
C455,35,1146418,1304377,445,8917,47,Gold
C456,57,1412977,650852,740,242019,73,Gold
C457,25,1334341,293400,859,1003174,4,Platinum
C458,59,1373069,221079,875,348782,8,Platinum
C459,36,728423,482104,725,342525,96,Gold
C460,53,1347130,506738,737,536100,61,Gold
C461,21,1566244,534693,421,62331,3,Gold
C462,46,839138,1399584,714,368608,58,Gold
C463,45,1079331,587772,857,221981,17,Gold
C464,35,1714301,326965,738,305003,90,Gold
C465,48,1551957,1148966,853,1033064,4,Platinum
C466,45,854934,309179,375,886296,45,Gold
C467,53,1132992,1451309,682,612819,87,Gold
C468,23,1467574,1097954,519,23927,2,Gold
C469,27,1295196,497010,873,179502,81,Platinum
C470,59,1707232,111863,847,355476,41,Platinum
C471,48,1091046,686584,601,701882,76,Gold
C472,24,843303,125465,892,862064,5,Gold
C473,27,1391652,1295458,707,310742,43,Gold
C474,53,1582242,1234162,395,526929,42,Gold
C475,60,406678,792352,579,897340,68,Silver
C476,51,1121513,633621,654,174742,28,Gold
C477,28,1117857,711249,830,570696,100,Gold
C478,24,485073,602739,752,41296,47,Silver
C479,50,1156644,789049,831,695890,10,Gold
C480,37,782232,357138,855,91833,54,Gold
C481,50,630872,1053891,599,617991,20,Silver
C482,41,522363,380025,415,1346,14,Silver
C483,31,983344,1032978,730,865548,70,Gold
C484,21,1504382,1209896,851,739804,62,Platinum
C485,37,1722455,937021,563,906854,93,Gold
C486,34,572977,1114330,852,704250,82,Silver
C487,58,1767278,237080,628,675555,81,Gold
C488,25,412500,1117903,471,744474,5,Silver
C489,24,839538,941201,661,781170,67,Gold
C490,24,490295,660226,659,1162869,62,Silver
C491,34,1338225,557253,601,44824,8,Gold
C492,50,1725279,279711,568,978199,94,Gold
C493,46,362800,538016,370,532598,28,Silver
C494,39,357873,389062,356,683211,55,Silver
C495,36,549824,1274949,705,836874,97,Silver
C496,35,1161585,780458,642,165379,38,Gold
C497,25,563589,901719,553,30445,82,Silver
C498,30,1577873,624809,508,986775,30,Gold
C499,27,1456896,865107,596,764334,95,Gold
C500,57,1229494,911415,635,595885,60,Gold
