Customer_ID,Age,Income,Loan_Amount,EMI,Employment_Years,Credit_Score,Previous_Defaults,Debt_to_Income,Loan_Default
C067,58,535639,742635,49508,17,899,2,44,0
C068,42,1494737,1343970,29254,27,375,3,75,1
C069,25,1139843,935492,46538,9,757,2,69,0
C070,42,1796023,351498,32726,14,519,3,24,1
C071,25,1630407,1444899,21200,26,430,1,68,1
C072,50,1092505,732907,43309,26,615,2,44,1
C073,60,959515,855459,11533,22,714,1,20,0
C074,43,1298551,76876,48210,3,765,2,70,0
C075,54,1672682,640467,15946,20,612,2,14,1
C076,21,1340404,1045819,21904,19,870,1,77,0
C077,38,1722210,864090,6057,6,460,1,19,1
C078,39,441258,122408,5590,16,589,3,15,1
C079,37,1387130,1310252,1727,11,549,2,59,1
C080,59,1690761,204281,39025,8,509,1,61,1
C081,28,589282,1301269,16997,17,732,1,21,0
C082,58,252469,707655,40991,27,618,0,67,1
C083,41,1469399,490887,28900,13,587,2,21,1
C084,29,772842,1241946,28227,19,391,3,17,1
C085,45,1504054,690608,42693,18,555,2,14,1
C086,34,423805,855325,11039,3,506,1,76,1
C087,27,1594493,1162203,16946,7,574,2,35,1
C088,27,1437494,397466,15841,19,755,1,61,0
C089,53,321767,837383,49029,11,742,2,57,0
C090,50,931542,1258853,47995,4,422,3,64,1
C091,36,557393,643684,45726,20,762,3,53,0
C092,23,1143111,1312624,41603,3,526,3,74,1
C093,40,800564,563586,4442,27,711,1,27,0
C094,31,1182109,771764,45153,20,794,2,33,0
C095,49,1708187,947452,26656,7,728,2,22,0
C096,39,1040049,84089,48089,12,744,0,47,0
C097,54,1361123,1233167,2396,0,657,3,38,0
C098,38,987671,1061313,27069,25,541,2,32,1
C099,34,1730361,755035,48557,7,394,1,45,1
C100,30,1345565,82034,24247,21,573,0,13,0
C101,34,511774,1497539,24066,10,364,2,10,1
C102,56,1585991,810092,34515,27,465,2,53,1
C103,25,1614287,1262121,40561,15,525,0,27,0
C104,44,1640230,720903,36495,27,506,2,66,1
C105,57,1768761,678155,16297,2,878,0,37,0
C106,28,1224504,1357962,9881,14,567,3,60,1
C107,35,513292,234533,21760,16,539,1,63,1
C108,29,856690,408691,13050,20,576,1,28,1
C109,36,1480320,143313,1580,9,512,2,76,1
C110,50,378940,1103463,3884,2,758,1,22,0
C111,29,975589,744721,42403,4,387,2,52,1
C112,54,460152,1050028,44032,11,522,1,16,1
C113,44,1779983,248615,14682,20,896,1,73,0
C114,37,968190,111273,6069,20,847,1,23,0
C115,31,1771432,879157,17891,29,570,3,77,1
C116,52,1766816,380684,19850,19,799,3,15,0
C117,33,516749,1447574,49625,13,435,1,48,1
C118,50,1758166,454286,20200,3,416,2,59,1
C119,31,820325,1219582,29692,25,820,3,24,0
C120,34,1296031,894144,39307,22,607,0,78,1
C121,57,732204,758505,35757,21,449,0,66,1
C122,29,1706778,595912,23243,18,778,2,50,0
C123,22,559473,1173773,38671,25,516,2,37,1
C124,34,1523004,710888,11082,22,432,0,14,0
C125,55,1562711,980071,20457,30,575,3,44,1
C126,48,653622,1218109,37870,29,382,1,40,1
C127,51,267941,751810,20094,26,543,3,75,1
C128,33,1138822,1168490,44665,19,628,3,33,1
C129,54,1407339,638624,19005,5,892,0,38,0
C130,52,1553803,760637,15649,7,861,3,80,0
C131,21,416822,733763,21672,25,354,1,26,1
C132,42,257966,962056,48136,13,618,2,34,1
C133,42,327883,51919,48203,12,374,0,77,1
C134,43,1396125,148429,11119,12,613,3,72,1
C135,22,543932,403809,7415,24,898,3,31,0
C136,60,434788,1314675,46733,21,851,2,25,0
C137,21,1211576,140691,19198,9,864,2,38,0
C138,23,1677490,1036022,42642,6,709,2,55,0
C139,25,1222522,1471566,13142,23,601,0,25,0
C140,52,1522905,485971,3630,8,768,3,23,0
C141,37,430896,980960,31002,21,559,0,17,0
C142,41,695365,1001262,8098,18,750,0,78,0
C143,45,602308,956077,22836,16,809,3,14,0
C144,21,1240521,1083573,25356,20,503,0,73,1
C145,58,266785,193462,20669,16,452,3,45,1
C146,30,390249,1130119,48642,8,637,1,34,1
C147,45,1044284,387790,5184,4,861,3,45,0
C148,56,1772846,1330830,32932,8,391,0,60,1
C149,22,1788277,1268478,27052,20,487,3,11,1
C150,35,251088,430454,6124,1,657,2,55,0
C151,28,1748278,52129,14936,3,624,1,31,1
C152,25,855833,1107478,5039,21,687,0,34,0
C153,25,822921,342453,32293,23,584,0,57,1
C154,29,288577,1108624,42303,11,486,2,77,1
C155,49,1155983,1391074,3336,0,673,0,17,0
C156,43,1503783,977420,7331,5,651,3,66,0
C157,24,1700589,446100,12898,0,815,2,31,0
C158,33,755614,504941,13918,16,462,1,61,1
C159,42,448008,1386006,35451,3,817,1,43,0
C160,40,1155137,1084833,40746,0,533,1,72,1
C161,47,653391,274021,44411,27,522,2,36,1
C162,32,1435630,1267412,12111,2,607,1,71,1
C163,34,535897,923638,30078,26,820,1,60,0
C164,50,1430595,375214,17148,29,890,0,46,0
C165,42,1519377,803829,27186,5,371,1,53,1
C166,49,603133,590084,25362,3,689,1,80,0
C167,24,888702,695115,26323,19,884,2,31,0
C168,39,1230859,1292397,11701,14,449,1,48,1
C169,35,674084,466166,14364,10,538,2,76,1
C170,28,1573169,692248,29464,29,610,1,42,1
C171,28,1680684,792981,23678,28,803,0,11,0
C172,48,1380709,617800,40883,17,814,0,27,0
C173,24,1259656,357169,35263,28,361,0,78,1
C174,52,476512,188604,6582,6,841,1,12,0
C175,25,1668938,353679,22820,23,420,1,13,1
C176,37,983649,673114,38290,2,774,2,17,0
C177,30,1583997,1350976,2498,19,587,3,38,1
C178,29,1644187,1433491,19455,24,527,2,33,1
C179,54,811418,1319525,20700,6,354,1,77,1
C180,37,763949,1133309,9564,13,589,3,73,1
C181,41,1413395,1469125,9787,7,670,1,72,0
C182,27,1366304,360487,34026,25,429,2,64,1
C183,57,953078,598178,43072,23,630,2,71,1
C184,27,1506834,1364831,49421,10,571,2,34,1
C185,21,1577823,1468269,35746,6,776,1,20,0
C186,59,1523379,1409493,28816,12,606,1,49,1
C187,37,272579,914469,11690,16,775,0,30,0
C188,24,824680,416518,41021,0,365,1,39,1
C189,50,525687,912582,21097,24,860,2,74,0
C190,43,1473073,445658,31248,6,372,3,69,1
C191,54,685084,582650,36387,20,775,2,19,0
C192,59,988085,1269856,21818,3,420,3,40,1
C193,47,1549998,1065693,31273,26,831,3,78,0
C194,29,1175076,572576,44961,5,432,2,24,1
C195,21,1728867,1365944,47668,23,639,0,73,1
C196,40,358269,499880,27214,12,699,3,15,0
C197,41,562143,1130130,12996,30,390,2,48,1
C198,37,422813,212717,27047,11,459,3,34,1
C199,33,1279797,1383667,32005,28,780,3,77,0
C200,23,1542223,955260,29592,28,622,1,64,1
C201,50,580061,1268762,45839,12,568,0,32,0
C202,30,896544,940214,47883,9,518,2,65,1
C203,53,652084,1269607,37627,28,369,2,63,1
C204,54,902023,1007010,20557,6,751,0,28,0
C205,34,496958,1005546,40568,7,858,1,33,0
C206,57,1207062,503748,11914,27,488,1,68,1
C207,37,1657307,462266,13581,0,820,0,79,0
C208,50,1689152,1028660,36844,28,569,3,78,1
C209,26,1034055,1305574,20512,21,442,0,38,0
C210,44,493268,86627,18301,2,588,2,16,1
C211,34,278415,1294659,46226,6,814,3,73,0
C212,60,277569,275432,18823,26,812,3,31,0
C213,42,1668098,470902,24982,17,719,0,80,0
C214,40,1390072,747523,16422,20,861,1,71,0
C215,40,457551,1320453,26725,28,895,2,37,0
C216,49,283767,1358824,7010,4,799,2,71,0
C217,21,1313569,1168892,19246,4,821,1,11,0
C218,35,1416344,932229,17704,13,750,0,74,0
C219,34,1666991,1439618,12854,0,465,1,58,1
C220,26,1558792,901140,27046,16,797,0,18,0
C221,48,883714,963827,4684,20,729,1,48,0
C222,25,515791,1315824,33769,22,650,0,36,0
C223,41,941800,1213583,3474,14,360,0,71,1
C224,22,1463933,1063502,32864,25,517,0,76,1
C225,40,281208,157376,14839,7,798,1,48,0
C226,55,1162321,757087,2794,4,460,0,33,0
C227,56,284987,1298523,34540,16,668,0,17,0
C228,52,1616121,197678,18163,27,890,0,33,0
C229,46,511330,1230988,1862,29,690,2,28,0
C230,21,1301088,979420,36145,22,521,1,49,1
C231,28,1563934,656743,23987,16,800,3,72,0
C232,37,968024,573561,18518,3,531,1,40,1
C233,46,619093,478401,46440,12,764,0,55,0
C234,45,1031164,260188,41724,20,693,3,56,0
C235,50,1193304,1243885,2876,24,860,1,44,0
C236,45,302365,828250,18220,27,680,2,77,0
C237,43,365096,927372,49417,11,462,1,26,1
C238,25,1518442,1201656,19223,1,603,0,67,1
C239,45,614630,841270,13043,19,425,3,61,1
C240,27,313916,384930,19663,24,562,0,68,1
C241,50,940247,1112017,16533,21,851,0,71,0
C242,31,451059,1399786,20733,4,412,1,41,1
C243,52,409581,427731,49128,11,603,3,58,1
C244,33,840021,1260646,23439,25,477,2,12,1
C245,44,1199004,686059,42936,15,501,2,49,1
C246,56,1632506,240135,25463,21,900,1,28,0
C247,39,1193325,1076764,21690,0,591,0,78,1
C248,32,1118110,867067,48169,10,520,3,77,1
C249,24,445605,643545,43424,20,558,1,64,1
C250,22,1680147,527690,39844,0,834,1,38,0
C251,45,1080818,126847,49642,10,496,1,68,1
C252,22,1315465,1191092,5185,0,604,2,31,1
C253,33,1135384,715685,34517,3,574,2,37,1
C254,36,588220,879686,45744,4,407,3,70,1
C255,60,1147613,443723,34481,24,499,0,19,0
C256,28,380279,882108,16803,5,646,0,76,1
C257,43,1207246,699572,23125,21,752,3,43,0
C258,46,1268255,467183,4526,6,606,2,59,1
C259,28,309857,378788,49120,22,398,0,26,0
C260,22,756563,1245536,35265,18,700,0,74,0
C261,54,1693171,892334,26414,6,767,0,23,0
C262,27,1636603,109526,41645,9,382,0,26,0
C263,46,1789148,1280057,1074,2,568,3,11,1
C264,48,1599042,485739,8345,11,758,2,25,0
C265,26,1648645,754282,39678,14,571,0,15,0
C266,23,1162105,610078,22009,27,738,0,11,0
C267,30,425951,1375218,29575,18,671,2,13,0
C268,28,1373947,1470632,14693,25,607,2,62,1
C269,48,842798,338704,34885,1,553,3,65,1
C270,35,656048,960116,49562,2,448,2,71,1
C271,33,1321900,643840,18693,2,864,3,33,0
C272,43,1751169,1117858,17672,9,580,3,62,1
C273,45,1454076,353394,30905,29,419,2,38,1
C274,57,299147,386614,15955,16,839,2,56,0
C275,57,1602034,71377,2147,6,739,1,65,0
C276,38,1432622,1466656,46063,19,383,1,61,1
C277,57,1318163,432949,17938,19,603,2,64,1
C278,31,255626,372686,16697,21,789,0,19,0
C279,34,1112338,51031,10008,30,821,0,51,0
C280,26,1047857,843306,35702,7,505,3,13,1
C281,58,1391764,665860,24175,14,532,1,30,1
C282,50,940881,546944,6773,17,738,0,43,0
C283,39,445185,1004509,46358,9,473,3,75,1
C284,37,706133,293537,19286,20,749,1,53,0
C285,22,693972,200707,34661,20,876,3,55,0
C286,26,1664543,427208,12203,5,582,3,78,1
C287,44,956785,304240,10588,21,441,3,20,1
C288,50,1155619,353317,43754,29,559,1,62,1
C289,60,1190306,958140,26757,24,499,3,24,1
C290,36,1389314,468230,22604,21,769,1,32,0
C291,57,625384,662986,14884,0,565,3,23,1
C292,59,1678874,768966,49613,13,525,3,59,1
C293,40,1495769,168516,10149,24,590,0,35,0
C294,32,477211,732742,47786,7,552,2,60,1
C295,48,1520069,217335,17717,27,572,0,42,0
C296,57,851082,1106635,28027,27,642,2,46,1
C297,58,545501,599132,7025,21,460,0,19,0
C298,22,470666,82966,24390,7,598,2,33,1
C299,27,1089657,945958,2032,12,895,2,77,0
C300,37,775117,276279,42551,14,844,0,65,0
C301,23,456924,1430806,6554,30,722,1,64,0
C302,60,586702,785732,24433,25,381,0,46,1
C303,47,359121,632481,25899,3,634,2,63,1
C304,23,582440,1079550,21450,17,386,1,76,1
C305,51,1692304,1446696,22151,0,799,2,59,0
C306,41,554893,1450474,25319,9,477,1,53,1
C307,56,1238771,1296780,29374,25,468,2,33,1
C308,23,1283075,114762,2287,2,488,3,28,1
C309,47,1282070,1009792,46121,18,565,1,61,1
C310,45,735904,488347,39586,1,857,2,26,0
C311,37,1527174,1197322,7095,19,351,2,44,1
C312,58,327505,962233,1934,3,527,0,64,1
C313,30,1295078,626290,40295,12,536,2,66,1
C314,55,1740207,899478,5872,0,496,2,28,1
C315,23,1361550,346772,38373,27,527,0,57,1
C316,38,801407,1042029,23189,28,849,2,46,0
C317,41,566402,178398,42952,17,824,2,58,0
C318,35,636306,724395,24354,29,501,3,75,1
C319,33,1070296,1490054,25296,11,604,0,78,1
C320,33,1216745,1059269,33324,15,610,3,20,1
C321,43,1656755,1463326,19492,8,421,3,74,1
C322,29,467888,605735,25159,21,571,3,56,1
C323,28,1077643,1192910,2538,15,355,1,46,1
C324,23,1379532,189737,35179,29,802,2,12,0
C325,52,875169,1354452,28844,24,871,0,23,0
C326,59,1073239,227539,19087,10,432,3,66,1
C327,53,1377548,1446392,39968,26,688,0,70,0
C328,45,1670085,367709,48740,16,598,1,28,1
C329,39,553763,626797,25665,14,586,1,27,1
C330,27,989116,449612,21043,16,814,0,42,0
C331,28,1694735,417702,23672,21,739,1,26,0
C332,25,567588,962740,30209,13,375,0,59,1
C333,55,1210082,187080,47908,13,358,0,15,0
C334,50,1033407,366936,10696,16,443,3,63,1
C335,26,1628145,1402566,44840,21,368,3,41,1
C336,48,721329,966907,5646,30,421,1,54,1
C337,24,776044,452180,35574,27,492,3,78,1
C338,25,775610,803986,9033,14,781,1,74,0
C339,27,528819,428795,1463,8,522,3,25,1
C340,33,915868,750287,21320,14,451,1,27,1
C341,45,1161406,708472,45926,4,615,0,21,0
C342,43,1603979,654452,37547,0,401,1,15,1
C343,46,262492,941548,48643,9,882,0,51,0
C344,49,1676467,428477,22844,6,813,2,11,0
C345,51,1058408,1375750,42353,14,367,1,13,1
C346,43,1490441,830680,19604,25,836,3,68,0
C347,55,380975,239013,15483,17,684,1,18,0
C348,23,1444339,212116,16129,15,668,1,71,0
C349,38,1325962,1272739,15624,30,753,3,16,0
C350,46,516762,157547,20486,20,688,3,51,0
C351,23,1427795,742438,29052,7,458,0,69,1
C352,52,1661318,208723,38212,23,499,1,42,1
C353,44,1544858,512659,27359,11,633,2,62,1
C354,38,322069,411425,28525,3,433,1,28,1
C355,24,805456,151744,31490,3,407,1,66,1
C356,60,774048,1138263,9054,25,375,3,35,1
C357,49,701949,933681,49395,23,629,0,67,1
C358,59,261510,477434,32143,9,891,0,64,0
C359,43,1000503,100939,26964,2,438,2,77,1
C360,24,453413,885269,30565,4,587,3,12,1
C361,22,645153,444305,4026,25,498,0,27,0
C362,24,1662548,153827,11546,11,588,3,25,1
C363,33,692498,907714,13509,4,718,1,66,0
C364,28,760020,1058555,47453,19,578,3,78,1
C365,58,1184252,908271,1010,16,567,1,44,1
C366,37,1237449,1216032,31982,28,740,2,68,0
C367,52,1292736,238314,5180,8,522,3,56,1
C368,31,927968,1389450,39934,10,580,2,73,1
C369,23,1451885,1404623,8536,1,832,1,15,0
C370,60,1627006,303988,30513,29,694,1,55,0
C371,37,356608,728409,8407,1,662,3,21,0
C372,50,1333465,1086155,35608,27,459,3,70,1
C373,31,948916,1022433,49595,15,609,0,15,0
C374,34,301090,1064538,40982,7,453,2,10,1
C375,31,858926,660725,3683,25,508,2,54,1
C376,44,938818,683605,30615,14,453,1,11,1
C377,32,1565428,1204486,25510,23,690,1,39,0
C378,40,1325674,1197224,35497,23,476,0,49,1
C379,49,1610615,1135599,45193,21,499,2,60,1
C380,35,1172912,1496183,23459,15,570,0,16,0
C381,38,409685,719685,23453,27,448,1,53,1
C382,48,659123,744901,13224,13,875,2,27,0
C383,46,471934,727707,44688,14,449,3,24,1
C384,52,1315359,83512,15964,0,795,0,72,0
C385,29,268369,851796,29456,7,733,1,24,0
C386,22,1379138,1390102,46828,10,727,2,13,0
C387,23,1204382,1405881,2863,4,631,3,32,1
C388,37,315912,595993,20122,14,864,3,27,0
C389,28,1686059,165501,46667,21,397,2,29,1
C390,45,1130310,1303938,30619,24,540,1,51,1
C391,50,1146651,955948,25223,0,881,2,28,0
C392,46,335048,1442171,20384,9,415,0,75,1
C393,26,797496,1167350,34455,6,792,2,29,0
C394,39,384098,399748,35222,2,653,3,12,0
C395,22,321358,1445403,9846,11,725,0,75,0
C396,48,724342,253611,36175,19,847,0,46,0
C397,48,441947,1137936,7025,6,861,0,80,0
C398,27,846256,277629,16357,18,712,3,51,0
C399,51,728357,1120656,19891,1,813,0,61,0
C400,41,1456672,96439,29218,10,542,1,10,1
C401,47,1119458,1453038,23330,29,571,3,64,1
C402,26,635792,346352,48395,23,623,0,47,1
C403,57,661602,252431,4293,9,763,2,46,0
C404,52,1291579,1331626,28286,19,807,1,34,0
C405,40,1373318,874396,40026,24,426,0,64,1
C406,26,1393626,593455,4820,13,540,1,36,1
C407,48,1494088,1358268,34536,14,436,2,45,1
C408,60,957951,385626,3973,1,709,2,32,0
C409,22,1227230,604388,34962,8,830,3,45,0
C410,52,1455874,1221134,32914,25,422,2,23,1
C411,49,919012,122241,37373,30,475,3,46,1
C412,21,850844,1028712,7358,5,390,3,13,1
C413,42,1528193,293123,31177,25,464,0,45,0
C414,45,1434264,1314500,15327,16,541,2,21,1
C415,53,1690788,1226889,6463,18,356,0,66,1
C416,25,1754028,792652,43441,2,804,3,52,0
C417,55,295102,1460567,12641,14,872,3,45,0
C418,54,799087,237744,9910,13,381,1,48,1
C419,39,1784714,707560,16860,13,864,3,21,0
C420,33,1404486,473199,24592,3,669,0,16,0
C421,50,1762611,816942,34157,8,467,3,31,1
C422,33,1270541,153873,29373,12,713,0,58,0
C423,37,719780,1136017,45207,15,538,0,31,0
C424,25,819997,901673,14200,0,568,3,22,1
C425,35,1157870,1071814,1826,11,847,3,58,0
C426,25,521418,60121,27747,9,452,1,27,1
C427,51,784023,961528,30516,10,613,2,72,1
C428,57,909914,517066,49724,30,602,2,37,1
C429,57,677209,1343464,19103,21,506,2,34,1
C430,43,1107857,397272,40780,5,484,2,41,1
C431,41,926783,685974,40298,22,589,2,28,1
C432,49,934560,74274,16417,23,358,1,26,1
C433,45,971394,461642,43336,12,481,3,60,1
C434,34,1029859,1112019,37075,9,425,3,75,1
C435,49,498495,701053,20675,24,353,0,19,0
C436,56,313309,802575,12488,17,852,1,67,0
C437,27,1379826,1285080,49753,1,773,2,69,0
C438,49,629473,1403651,46739,24,776,3,62,0
C439,22,696738,171336,36838,21,488,0,23,0
C440,49,1102263,806376,32043,21,876,3,14,0
C441,27,1289837,933949,3824,21,528,0,49,1
C442,53,1497531,588143,9720,20,897,2,37,0
C443,46,370270,1491732,7900,1,593,3,29,1
C444,48,1041728,517500,23513,17,731,1,77,0
C445,55,1212293,883441,31316,25,770,1,10,0
C446,56,1419999,294594,24455,23,806,2,70,0
C447,50,1263110,176154,7599,26,858,3,60,0
C448,27,1594179,488887,31699,21,624,0,74,1
C449,44,1498645,1251158,14061,17,778,1,11,0
C450,55,1269082,190452,38708,7,661,2,25,0
C451,32,663008,734186,14643,4,751,3,41,0
C452,33,394661,1339570,37282,5,380,1,28,1
C453,25,1265848,137924,44829,25,447,2,28,1
C454,48,640034,1479272,34392,25,837,1,80,0
C455,28,250655,1335134,28826,17,360,2,39,1
C456,31,633154,768270,46502,15,626,3,69,1
C457,24,473961,605937,1047,16,497,3,62,1
C458,54,1798824,159190,21327,15,432,1,26,1
C459,46,278022,1407847,35936,6,516,0,10,0
C460,51,1684912,967038,35152,29,687,1,29,0
C461,27,832631,227626,22894,30,559,2,19,1
C462,60,526747,1327958,32758,5,485,0,42,0
C463,26,407533,862778,5479,26,566,3,23,1
C464,41,1200844,1201330,14999,8,472,1,79,1
C465,25,1736108,257537,42247,28,766,2,38,0
C466,27,996613,132087,21937,22,831,3,57,0
C467,60,1346627,1440415,31991,28,852,0,79,0
C468,45,494395,1181864,8078,0,737,3,17,0
C469,22,492998,1430393,6355,5,613,2,72,1
C470,33,1477159,1273191,9133,11,761,0,47,0
C471,21,1299519,1059538,29494,7,625,0,33,0
C472,48,1001720,214028,11830,14,462,3,30,1
C473,57,1517800,1108023,10659,17,488,3,32,1
C474,47,1051501,629692,48320,12,798,0,11,0
C475,38,617802,469554,43698,9,368,3,61,1
C476,44,846778,245019,33603,11,438,0,79,1
C477,45,1026689,327467,41800,12,509,2,33,1
C478,59,536905,405958,48468,29,521,1,69,1
C479,44,1581820,655677,24554,15,404,3,11,1
C480,49,690495,1023218,9333,6,556,0,77,1
C481,46,1021411,99573,30561,17,410,2,18,1
C482,24,668449,1099802,15272,28,889,1,22,0
C483,36,1264771,719696,19308,24,486,2,71,1
C484,39,1338576,99157,12305,18,463,0,66,1
C485,44,631803,852389,13561,6,900,0,71,0
C486,28,283524,135603,26870,16,646,1,60,1
C487,37,1320593,1087634,19962,4,786,0,79,0
C488,25,1091873,1109671,34419,11,877,0,16,0
C489,24,789958,658908,41789,24,630,3,48,1
C490,47,472615,1439715,30894,9,385,0,66,1
C491,39,827990,932573,32257,24,808,0,29,0
C492,45,1417676,1040170,33543,4,599,1,50,1
C493,34,947723,974391,44501,0,541,1,51,1
C494,50,833831,205333,40230,19,566,0,53,1
C495,57,1631408,141121,12084,13,416,1,68,1
C496,30,1077511,741227,18513,12,884,3,79,0
C497,50,1345804,1271744,5886,8,481,1,15,1
C498,29,299765,698021,21206,8,660,3,52,0
C499,56,728672,1054761,2206,9,433,0,26,0
C500,23,1701678,444215,6454,27,618,1,12,1
